"N","min(T)","q1(T)","med(T)","q3(T)","max(T)","avg(T)","std(T)","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0,0,0,0,0,0,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,0,0,0,0,0,0,0,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,231,231,231,231,231,231,0,1,0
1,2.7791e-15,2.7791e-15,2.7791e-15,2.7791e-15,2.7791e-15,2.7791e-15,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,0,0,0,0,0,0,0,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,231,231,231,231,231,231,0,1,60
1,5.4638e-11,5.4638e-11,5.4638e-11,5.4638e-11,5.4638e-11,5.4638e-11,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,0,0,0,0,0,0,0,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,231,231,231,231,231,231,0,1,120
1,2.0242e-09,2.0242e-09,2.0242e-09,2.0242e-09,2.0242e-09,2.0242e-09,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,0,0,0,0,0,0,0,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,231,231,231,231,231,231,0,1,180
1,4.8953e-09,4.8953e-09,4.8953e-09,4.8953e-09,4.8953e-09,4.8953e-09,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,0,0,0,0,0,0,0,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,231,231,231,231,231,231,0,1,240
1,1.993e-07,1.993e-07,1.993e-07,1.993e-07,1.993e-07,1.993e-07,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,0,0,0,0,0,0,0,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,231,231,231,231,231,231,0,1,300
1,3.6112e-05,3.6112e-05,3.6112e-05,3.6112e-05,3.6112e-05,3.6112e-05,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,0,0,0,0,0,0,0,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,231,231,231,231,231,231,0,1,360
1,0.0015474,0.0015474,0.0015474,0.0015474,0.0015474,0.0015474,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,0,0,0,0,0,0,0,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,231,231,231,231,231,231,0,1,420
1,0.020506,0.020506,0.020506,0.020506,0.020506,0.020506,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,0,0,0,0,0,0,0,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,231,231,231,231,231,231,0,1,480
1,0.10727,0.10727,0.10727,0.10727,0.10727,0.10727,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,8.8334e-09,0,0,0,0,0,0,0,0,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,3.3349e-06,0,231,231,231,231,231,231,0,1,540
