"T","U:0","U:1","U:2","Points:0","Points:1","Points:2"
1,3.53e-06,0,0,-0.0006,0.00084,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0008456,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0008456,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.00084,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0008512,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0008512,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.000812,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0008176,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0008176,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.000812,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0008232,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0008232,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0008344,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0008344,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0006104,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.000616,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.000616,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0006104,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0006216,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0006216,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0007672,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0007672,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0007616,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0007616,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0008792,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0008792,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0008736,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0008736,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0006384,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.000644,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.000644,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0006384,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0006496,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0006496,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0007392,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0007448,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0007448,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0007392,-3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0007504,3.3106e-05
1,3.53e-06,0,0,-0.0006,0.0007504,-3.3106e-05
