"N","min(T)","q1(T)","med(T)","q3(T)","max(T)","avg(T)","std(T)","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0,0,0,0,0,0,0,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,0,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,0,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,0,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,0,2328,2328,2328,2328,2328,2328,0,1,0
1,1.5369e-13,1.5369e-13,1.5369e-13,1.5369e-13,1.5369e-13,1.5369e-13,0,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,0,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,0,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,0,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,0,2328,2328,2328,2328,2328,2328,0,1,60
1,4.0879e-11,4.0879e-11,4.0879e-11,4.0879e-11,4.0879e-11,4.0879e-11,0,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,0,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,0,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,0,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,0,2328,2328,2328,2328,2328,2328,0,1,120
1,-2.4289e-09,-2.4289e-09,-2.4289e-09,-2.4289e-09,-2.4289e-09,-2.4289e-09,0,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,0,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,0,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,0,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,0,2328,2328,2328,2328,2328,2328,0,1,180
1,-5.412e-09,-5.412e-09,-5.412e-09,-5.412e-09,-5.412e-09,-5.412e-09,0,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,0,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,0,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,0,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,0,2328,2328,2328,2328,2328,2328,0,1,240
1,3.2767e-07,3.2767e-07,3.2767e-07,3.2767e-07,3.2767e-07,3.2767e-07,0,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,0,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,0,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,0,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,0,2328,2328,2328,2328,2328,2328,0,1,300
1,5.7796e-05,5.7796e-05,5.7796e-05,5.7796e-05,5.7796e-05,5.7796e-05,0,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,0,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,0,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,0,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,0,2328,2328,2328,2328,2328,2328,0,1,360
1,0.0024028,0.0024028,0.0024028,0.0024028,0.0024028,0.0024028,0,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,0,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,0,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,0,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,0,2328,2328,2328,2328,2328,2328,0,1,420
1,0.031448,0.031448,0.031448,0.031448,0.031448,0.031448,0,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,0,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,0,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,0,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,0,2328,2328,2328,2328,2328,2328,0,1,480
1,0.16564,0.16564,0.16564,0.16564,0.16564,0.16564,0,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,3.3937e-06,0,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,-3.482e-08,0,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,5.6984e-30,0,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,3.3938e-06,0,2328,2328,2328,2328,2328,2328,0,1,540
