"T","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.70788,3.3867e-06,-3.1992e-08,-2.8865e-30,0.0024,0.000924,3.3106e-05
0.70788,3.3867e-06,-3.1992e-08,-2.8865e-30,0.0024,0.000924,-3.3106e-05
0.71262,3.3893e-06,-3.3127e-08,-5.798e-30,0.0024,0.0009296,-3.3106e-05
0.71262,3.3893e-06,-3.3127e-08,-5.798e-30,0.0024,0.0009296,3.3106e-05
0.7193,3.3922e-06,-3.4257e-08,5.7328e-30,0.0024,0.0009352,-3.3106e-05
0.7193,3.3922e-06,-3.4257e-08,5.7328e-30,0.0024,0.0009352,3.3106e-05
0.70051,3.3356e-06,8.428e-09,0,0.0024,0.0007,3.3106e-05
0.70051,3.3356e-06,8.428e-09,0,0.0024,0.0007,-3.3106e-05
0.69882,3.3369e-06,7.6098e-09,1.217e-28,0.0024,0.0007056,-3.3106e-05
0.69882,3.3369e-06,7.6098e-09,1.217e-28,0.0024,0.0007056,3.3106e-05
0.71085,3.3777e-06,-2.7427e-08,1.5601e-30,0.0024,0.0009016,3.3106e-05
0.71085,3.3777e-06,-2.7427e-08,1.5601e-30,0.0024,0.0009016,-3.3106e-05
0.70685,3.3797e-06,-2.857e-08,3.65e-33,0.0024,0.0009072,-3.3106e-05
0.70685,3.3797e-06,-2.857e-08,3.65e-33,0.0024,0.0009072,3.3106e-05
0.77157,3.6239e-06,-5.8532e-08,-5.8708e-31,0.0024,0.0011312,3.3106e-05
0.77157,3.6239e-06,-5.8532e-08,-5.8708e-31,0.0024,0.0011312,-3.3106e-05
0.77878,3.633e-06,-5.8429e-08,5.081e-31,0.0024,0.0011368,-3.3106e-05
0.77878,3.633e-06,-5.8429e-08,5.081e-31,0.0024,0.0011368,3.3106e-05
0.70495,3.3819e-06,-2.9712e-08,-1.5565e-30,0.0024,0.0009128,3.3106e-05
0.70495,3.3819e-06,-2.9712e-08,-1.5565e-30,0.0024,0.0009128,-3.3106e-05
0.70528,3.3842e-06,-3.0854e-08,5.7951e-30,0.0024,0.0009184,-3.3106e-05
0.70528,3.3842e-06,-3.0854e-08,5.7951e-30,0.0024,0.0009184,3.3106e-05
0.74203,3.3709e-06,-2.2878e-08,-5.8739e-30,0.0024,0.0008792,3.3106e-05
0.74203,3.3709e-06,-2.2878e-08,-5.8739e-30,0.0024,0.0008792,-3.3106e-05
0.7327,3.3725e-06,-2.4011e-08,3.13e-30,0.0024,0.0008848,-3.3106e-05
0.7327,3.3725e-06,-2.4011e-08,3.13e-30,0.0024,0.0008848,3.3106e-05
0.8686,3.7972e-06,-4.4856e-08,1.9451e-30,0.0024,0.0012488,3.3106e-05
0.8686,3.7972e-06,-4.4856e-08,1.9451e-30,0.0024,0.0012488,-3.3106e-05
0.86308,3.8036e-06,-4.3628e-08,2.1346e-30,0.0024,0.0012544,-3.3106e-05
