"T","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,3.4302e-06,8.5944e-09,-2.8913e-26,1,0.000201,-0.000399,0.0007,0
0,3.4281e-06,8.5922e-09,-1.2193e-25,1,0.000204,-0.000396,0.0007,0
0,3.4261e-06,8.5894e-09,-1.1297e-25,1,0.000207,-0.000393,0.0007,0
0,3.4241e-06,8.5794e-09,-6.0551e-26,1,0.00021,-0.00039,0.0007,0
0,3.4221e-06,8.565e-09,-1.1622e-25,1,0.000213,-0.000387,0.0007,0
0,3.4201e-06,8.5521e-09,-9.51e-27,1,0.000216,-0.000384,0.0007,0
0,3.4182e-06,8.5306e-09,6.286e-26,1,0.000219,-0.000381,0.0007,0
0,3.4162e-06,8.5037e-09,3.1019e-25,1,0.000222,-0.000378,0.0007,0
0,3.4143e-06,8.4804e-09,9.45e-26,1,0.000225,-0.000375,0.0007,0
0,3.4124e-06,8.4467e-09,-4.2596e-25,1,0.000228,-0.000372,0.0007,0
0,3.4106e-06,8.4072e-09,-5.8652e-25,1,0.000231,-0.000369,0.0007,0
0,3.4087e-06,8.3727e-09,-5.7622e-25,1,0.000234,-0.000366,0.0007,0
0,3.4069e-06,8.3263e-09,-3.4623e-25,1,0.000237,-0.000363,0.0007,0
0,3.4052e-06,8.2736e-09,-8.3574e-26,1,0.00024,-0.00036,0.0007,0
0,3.4034e-06,8.2271e-09,1.4511e-25,1,0.000243,-0.000357,0.0007,0
0,3.4017e-06,8.1673e-09,4.3111e-25,1,0.000246,-0.000354,0.0007,0
0,3.4e-06,8.1009e-09,9.9582e-26,1,0.000249,-0.000351,0.0007,0
0,3.3984e-06,8.0411e-09,8.3104e-26,1,0.000252,-0.000348,0.0007,0
0,3.3968e-06,7.9668e-09,8.4097e-26,1,0.000255,-0.000345,0.0007,0
0,3.3952e-06,7.8855e-09,8.5051e-26,1,0.000258,-0.000342,0.0007,0
0,3.3936e-06,7.8113e-09,9.9094e-26,1,0.000261,-0.000339,0.0007,0
0,3.3921e-06,7.7275e-09,7.7551e-26,1,0.000264,-0.000336,0.0007,0
0,3.3906e-06,7.6306e-09,-3.2128e-25,1,0.000267,-0.000333,0.0007,0
0,3.3892e-06,7.5347e-09,-1.2804e-25,1,0.00027,-0.00033,0.0007,0
0,3.3878e-06,7.428e-09,2.9888e-25,1,0.000273,-0.000327,0.0007,0
0,3.3864e-06,7.3145e-09,2.9881e-25,1,0.000276,-0.000324,0.0007,0
0,3.3851e-06,7.2085e-09,-8.2463e-27,1,0.000279,-0.000321,0.0007,0
0,3.3838e-06,7.091e-09,-1.9945e-25,1,0.000282,-0.000318,0.0007,0
0,3.3826e-06,6.9601e-09,4.0883e-25,1,0.000285,-0.000315,0.0007,0
0,3.3814e-06,6.8221e-09,1.3033e-25,1,0.000288,-0.000312,0.0007,0
0,3.3802e-06,6.6864e-09,-1.6889e-25,1,0.000291,-0.000309,0.0007,0
0,3.3791e-06,6.5421e-09,-3.5989e-25,1,0.000294,-0.000306,0.0007,0
0,3.378e-06,6.3956e-09,-1.5837e-25,1,0.000297,-0.000303,0.0007,0
0,3.3769e-06,6.2408e-09,1.1117e-25,1,0.0003,-0.0003,0.0007,0
0,3.3759e-06,6.0737e-09,3.3335e-25,1,0.000303,-0.000297,0.0007,0
0,3.375e-06,5.8988e-09,8.8902e-26,1,0.000306,-0.000294,0.0007,0
0,3.374e-06,5.7316e-09,-3.3481e-29,1,0.000309,-0.000291,0.0007,0
0,3.3731e-06,5.552e-09,-8.5155e-27,1,0.000312,-0.000288,0.0007,0
0,3.3722e-06,5.3603e-09,1.338e-25,1,0.000315,-0.000285,0.0007,0
0,3.3714e-06,5.1608e-09,-1.1059e-24,1,0.000318,-0.000282,0.0007,0
0,3.3706e-06,4.9617e-09,-1.6416e-24,1,0.000321,-0.000279,0.0007,0
0,3.3699e-06,4.7615e-09,-1.4304e-24,1,0.000324,-0.000276,0.0007,0
1.4013e-45,3.3692e-06,4.5443e-09,2.6221e-25,1,0.000327,-0.000273,0.0007,0
2.8026e-45,3.3685e-06,4.3218e-09,1.5594e-24,1,0.00033,-0.00027,0.0007,0
2.8026e-45,3.3678e-06,4.0977e-09,1.7901e-24,1,0.000333,-0.000267,0.0007,0
5.6052e-45,3.3672e-06,3.8653e-09,9.7471e-26,1,0.000336,-0.000264,0.0007,0
1.4013e-44,3.3666e-06,3.6298e-09,-1.012e-24,1,0.000339,-0.000261,0.0007,0
3.0829e-44,3.366e-06,3.385e-09,-1.5002e-24,1,0.000342,-0.000258,0.0007,0
5.8855e-44,3.3655e-06,3.1377e-09,-1.2903e-24,1,0.000345,-0.000255,0.0007,0
1.1771e-43,3.3649e-06,2.8799e-09,-1.4029e-25,1,0.000348,-0.000252,0.0007,0
2.5504e-43,3.3644e-06,2.6149e-09,1.7143e-24,1,0.000351,-0.000249,0.0007,0
5.1708e-43,3.3639e-06,2.3418e-09,2.4284e-24,1,0.000354,-0.000246,0.0007,0
9.739e-43,3.3634e-06,2.0625e-09,1.2513e-24,1,0.000357,-0.000243,0.0007,0
1.924e-42,3.363e-06,1.7715e-09,-2.5697e-25,1,0.00036,-0.00024,0.0007,0
3.8157e-42,3.3625e-06,1.4721e-09,-7.299e-25,1,0.000363,-0.000237,0.0007,0
6.9785e-42,3.362e-06,1.1666e-09,-9.2407e-25,1,0.000366,-0.000234,0.0007,0
1.1768e-41,3.3615e-06,8.5451e-10,-6.7443e-25,1,0.000369,-0.000231,0.0007,0
1.878e-41,3.361e-06,5.3769e-10,2.79e-29,1,0.000372,-0.000228,0.0007,0
2.3606e-41,3.3605e-06,2.1103e-10,1.0014e-24,1,0.000375,-0.000225,0.0007,0
7.0205e-42,3.3599e-06,-1.1805e-10,9.1563e-25,1,0.000378,-0.000222,0.0007,0
-7.6438e-41,3.3593e-06,-4.4784e-10,-4.5422e-25,1,0.000381,-0.000219,0.0007,0
-3.0395e-40,3.3587e-06,-7.8221e-10,-2.2737e-24,1,0.000384,-0.000216,0.0007,0
-1.319e-39,3.358e-06,-1.1255e-09,-2.3262e-24,1,0.000387,-0.000213,0.0007,0
-4.4475e-39,3.3573e-06,-1.4684e-09,-1.3362e-24,1,0.00039,-0.00021,0.0007,0
-1.289e-38,3.3565e-06,-1.8134e-09,-3.9436e-25,1,0.000393,-0.000207,0.0007,0
-3.2011e-38,3.3556e-06,-2.1601e-09,-4.2694e-25,1,0.000396,-0.000204,0.0007,0
-8.7922e-38,3.3546e-06,-2.5135e-09,-1.026e-24,1,0.000399,-0.000201,0.0007,0
-2.5521e-37,3.3535e-06,-2.857e-09,5.1805e-25,1,0.000402,-0.000198,0.0007,0
-7.0411e-37,3.3523e-06,-3.217e-09,1.3438e-24,1,0.000405,-0.000195,0.0007,0
-1.7964e-36,3.3509e-06,-3.5674e-09,5.3948e-25,1,0.000408,-0.000192,0.0007,0
-4.0821e-36,3.3494e-06,-3.9132e-09,-1.4609e-24,1,0.000411,-0.000189,0.0007,0
-1.1505e-35,3.3477e-06,-4.2653e-09,-1.262e-24,1,0.000414,-0.000186,0.0007,0
-3.1973e-35,3.3458e-06,-4.6406e-09,-5.2977e-25,1,0.000417,-0.000183,0.0007,0
-8.4529e-35,3.3437e-06,-4.9892e-09,4.7313e-25,1,0.00042,-0.00018,0.0007,0
-2.0727e-34,3.3414e-06,-5.2949e-09,9.897e-25,1,0.000423,-0.000177,0.0007,0
-4.8484e-34,3.3388e-06,-5.6792e-09,-1.3823e-25,1,0.000426,-0.000174,0.0007,0
-1.27e-33,3.3359e-06,-6.0603e-09,-2.9052e-24,1,0.000429,-0.000171,0.0007,0
-3.3769e-33,3.3327e-06,-6.3921e-09,-1.7275e-24,1,0.000432,-0.000168,0.0007,0
-8.5905e-33,3.3291e-06,-6.7104e-09,-7.9893e-26,1,0.000435,-0.000165,0.0007,0
-2.0194e-32,3.3252e-06,-6.9842e-09,8.1899e-25,1,0.000438,-0.000162,0.0007,0
-4.3023e-32,3.3209e-06,-7.3251e-09,3.124e-25,1,0.000441,-0.000159,0.0007,0
-1.0647e-31,3.3161e-06,-7.7118e-09,-7.883e-24,1,0.000444,-0.000156,0.0007,0
-2.584e-31,3.3108e-06,-7.9407e-09,-9.8788e-24,1,0.000447,-0.000153,0.0007,0
-5.8605e-31,3.305e-06,-8.2951e-09,-4.9895e-24,1,0.00045,-0.00015,0.0007,0
-1.2814e-30,3.2986e-06,-8.515e-09,1.5e-24,1,0.000453,-0.000147,0.0007,0
-2.7207e-30,3.2917e-06,-8.9064e-09,3.3938e-24,1,0.000456,-0.000144,0.0007,0
-6.6114e-30,3.2839e-06,-9.2821e-09,-1.0629e-25,1,0.000459,-0.000141,0.0007,0
-1.5702e-29,3.2753e-06,-9.7379e-09,-1.3355e-24,1,0.000462,-0.000138,0.0007,0
-3.5562e-29,3.266e-06,-1.0025e-08,-2.2718e-25,1,0.000465,-0.000135,0.0007,0
-7.7316e-29,3.2559e-06,-1.0074e-08,6.233e-25,1,0.000468,-0.000132,0.0007,0
-1.6061e-28,3.2448e-06,-1.0311e-08,1.2731e-24,1,0.000471,-0.000129,0.0007,0
-3.1812e-28,3.2328e-06,-1.0527e-08,1.0976e-24,1,0.000474,-0.000126,0.0007,0
-5.994e-28,3.2197e-06,-1.0912e-08,-3.0979e-25,1,0.000477,-0.000123,0.0007,0
-1.0809e-27,3.2055e-06,-1.138e-08,3.1199e-25,1,0.00048,-0.00012,0.0007,0
-1.9679e-27,3.1898e-06,-1.1868e-08,4.2912e-25,1,0.000483,-0.000117,0.0007,0
-3.3503e-27,3.1727e-06,-1.1822e-08,1.1804e-25,1,0.000486,-0.000114,0.0007,0
-5.2268e-27,3.1542e-06,-1.2631e-08,-2.3052e-25,1,0.000489,-0.000111,0.0007,0
-7.2968e-27,3.1342e-06,-1.287e-08,-9.6009e-25,1,0.000492,-0.000108,0.0007,0
-8.5488e-27,3.1125e-06,-1.3087e-08,-1.2784e-24,1,0.000495,-0.000105,0.0007,0
-6.6429e-27,3.089e-06,-1.3261e-08,-2.6875e-25,1,0.000498,-0.000102,0.0007,0
2.972e-27,3.0637e-06,-1.3392e-08,9.2687e-25,1,0.000501,-9.9e-05,0.0007,0
2.8463e-26,3.0362e-06,-1.3535e-08,-1.1575e-25,1,0.000504,-9.6e-05,0.0007,0
8.3952e-26,3.0065e-06,-1.3867e-08,-4.11e-26,1,0.000507,-9.3e-05,0.0007,0
1.7399e-25,2.9744e-06,-1.4165e-08,3.9217e-25,1,0.00051,-9e-05,0.0007,0
2.9098e-25,2.9399e-06,-1.4513e-08,-2.1214e-25,1,0.000513,-8.7e-05,0.0007,0
4.3185e-25,2.9028e-06,-1.4678e-08,-6.6056e-25,1,0.000516,-8.4e-05,0.0007,0
8.3454e-25,2.8629e-06,-1.3748e-08,-5.5865e-25,1,0.000519,-8.1e-05,0.0007,0
3.4234e-24,2.8201e-06,-1.3725e-08,-5.9803e-25,1,0.000522,-7.8e-05,0.0007,0
1.9168e-23,2.7743e-06,-1.4925e-08,-1.1732e-24,1,0.000525,-7.5e-05,0.0007,0
1.0727e-22,2.7252e-06,-1.4947e-08,-1.1686e-25,1,0.000528,-7.2e-05,0.0007,0
5.6389e-22,2.6727e-06,-1.4945e-08,8.7674e-25,1,0.000531,-6.9e-05,0.0007,0
2.8117e-21,2.6166e-06,-1.4919e-08,2.1997e-25,1,0.000534,-6.6e-05,0.0007,0
1.3387e-20,2.5568e-06,-1.4842e-08,-1.0441e-24,1,0.000537,-6.3e-05,0.0007,0
6.1206e-20,2.4931e-06,-1.475e-08,-1.5587e-24,1,0.00054,-6e-05,0.0007,0
2.6805e-19,2.4254e-06,-1.4599e-08,1.3767e-25,1,0.000543,-5.7e-05,0.0007,0
1.1316e-18,2.3535e-06,-1.4424e-08,5.74e-25,1,0.000546,-5.4e-05,0.0007,0
4.5765e-18,2.2774e-06,-1.4216e-08,-1.029e-24,1,0.000549,-5.1e-05,0.0007,0
1.7974e-17,2.1967e-06,-1.3633e-08,-3.652e-25,1,0.000552,-4.8e-05,0.0007,0
6.6081e-17,2.1119e-06,-1.3728e-08,-4.3761e-26,1,0.000555,-4.5e-05,0.0007,0
2.345e-16,2.0224e-06,-1.3384e-08,-1.6367e-24,1,0.000558,-4.2e-05,0.0007,0
8.2912e-16,1.9284e-06,-1.3272e-08,-1.655e-24,1,0.000561,-3.9e-05,0.0007,0
2.806e-15,1.8299e-06,-1.3038e-08,6.7434e-25,1,0.000564,-3.6e-05,0.0007,0
8.9854e-15,1.7272e-06,-1.2483e-08,7.8009e-25,1,0.000567,-3.3e-05,0.0007,0
2.6922e-14,1.6208e-06,-1.2642e-08,5.0072e-27,1,0.00057,-3e-05,0.0007,0
7.5772e-14,1.5101e-06,-1.2687e-08,-2.2912e-25,1,0.000573,-2.7e-05,0.0007,0
1.9958e-13,1.3954e-06,-1.1811e-08,-5.7087e-25,1,0.000576,-2.4e-05,0.0007,0
4.9213e-13,1.278e-06,-1.0984e-08,-9.5341e-27,1,0.000579,-2.1e-05,0.0007,0
1.1359e-12,1.1585e-06,-9.9308e-09,3.8003e-25,1,0.000582,-1.8e-05,0.0007,0
2.4522e-12,1.0373e-06,-8.996e-09,-1.2704e-25,1,0.000585,-1.5e-05,0.0007,0
