"N","min(T)","q1(T)","med(T)","q3(T)","max(T)","avg(T)","std(T)","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0,0,0,0,0,0,0,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,0,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,0,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,0,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,0,169,169,169,169,169,169,0,1,0
1,2.5898e-14,2.5898e-14,2.5898e-14,2.5898e-14,2.5898e-14,2.5898e-14,0,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,0,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,0,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,0,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,0,169,169,169,169,169,169,0,1,60
1,1.9673e-11,1.9673e-11,1.9673e-11,1.9673e-11,1.9673e-11,1.9673e-11,0,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,0,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,0,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,0,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,0,169,169,169,169,169,169,0,1,120
1,1.3868e-10,1.3868e-10,1.3868e-10,1.3868e-10,1.3868e-10,1.3868e-10,0,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,0,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,0,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,0,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,0,169,169,169,169,169,169,0,1,180
1,8.4184e-10,8.4184e-10,8.4184e-10,8.4184e-10,8.4184e-10,8.4184e-10,0,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,0,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,0,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,0,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,0,169,169,169,169,169,169,0,1,240
1,6.9045e-07,6.9045e-07,6.9045e-07,6.9045e-07,6.9045e-07,6.9045e-07,0,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,0,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,0,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,0,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,0,169,169,169,169,169,169,0,1,300
1,0.00010117,0.00010117,0.00010117,0.00010117,0.00010117,0.00010117,0,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,0,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,0,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,0,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,0,169,169,169,169,169,169,0,1,360
1,0.0036375,0.0036375,0.0036375,0.0036375,0.0036375,0.0036375,0,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,0,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,0,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,0,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,0,169,169,169,169,169,169,0,1,420
1,0.042569,0.042569,0.042569,0.042569,0.042569,0.042569,0,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,0,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,0,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,0,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,0,169,169,169,169,169,169,0,1,480
1,0.2052,0.2052,0.2052,0.2052,0.2052,0.2052,0,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,0,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,0,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,0,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,0,169,169,169,169,169,169,0,1,540
1,0.50549,0.50549,0.50549,0.50549,0.50549,0.50549,0,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,0,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,0,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,0,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,0,169,169,169,169,169,169,0,1,600
1,0.78471,0.78471,0.78471,0.78471,0.78471,0.78471,0,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,0,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,0,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,0,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,0,169,169,169,169,169,169,0,1,660
1,0.93263,0.93263,0.93263,0.93263,0.93263,0.93263,0,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,3.3167e-06,0,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,1.8554e-08,0,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,-4.1322e-30,0,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,3.3168e-06,0,169,169,169,169,169,169,0,1,720
