"N","min(T)","q1(T)","med(T)","q3(T)","max(T)","avg(T)","std(T)","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0.60784,0.60784,0.60784,0.60784,0.60784,0.60784,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,600
1,0.81065,0.81065,0.81065,0.81065,0.81065,0.81065,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,660
1,0.91236,0.91236,0.91236,0.91236,0.91236,0.91236,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,720
1,0.96213,0.96213,0.96213,0.96213,0.96213,0.96213,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,780
1,0.98619,0.98619,0.98619,0.98619,0.98619,0.98619,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,840
1,0.99687,0.99687,0.99687,0.99687,0.99687,0.99687,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,900
1,1.0012,1.0012,1.0012,1.0012,1.0012,1.0012,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,960
1,1.0029,1.0029,1.0029,1.0029,1.0029,1.0029,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1020
1,1.0034,1.0034,1.0034,1.0034,1.0034,1.0034,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1080
1,1.0035,1.0035,1.0035,1.0035,1.0035,1.0035,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1140
1,1.0036,1.0036,1.0036,1.0036,1.0036,1.0036,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1200
