"N","min(T)","q1(T)","med(T)","q3(T)","max(T)","avg(T)","std(T)","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0,0,0,0,0,0,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,0,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,16,16,16,16,16,16,0,1,0
1,2.1945e-14,2.1945e-14,2.1945e-14,2.1945e-14,2.1945e-14,2.1945e-14,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,0,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,16,16,16,16,16,16,0,1,60
1,3.0658e-11,3.0658e-11,3.0658e-11,3.0658e-11,3.0658e-11,3.0658e-11,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,0,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,16,16,16,16,16,16,0,1,120
1,3.0412e-10,3.0412e-10,3.0412e-10,3.0412e-10,3.0412e-10,3.0412e-10,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,0,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,16,16,16,16,16,16,0,1,180
1,5.4776e-10,5.4776e-10,5.4776e-10,5.4776e-10,5.4776e-10,5.4776e-10,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,0,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,16,16,16,16,16,16,0,1,240
1,3.3293e-07,3.3293e-07,3.3293e-07,3.3293e-07,3.3293e-07,3.3293e-07,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,0,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,16,16,16,16,16,16,0,1,300
1,5.0419e-05,5.0419e-05,5.0419e-05,5.0419e-05,5.0419e-05,5.0419e-05,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,0,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,16,16,16,16,16,16,0,1,360
1,0.0018687,0.0018687,0.0018687,0.0018687,0.0018687,0.0018687,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,0,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,16,16,16,16,16,16,0,1,420
1,0.022468,0.022468,0.022468,0.022468,0.022468,0.022468,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,0,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,16,16,16,16,16,16,0,1,480
1,0.11081,0.11081,0.11081,0.11081,0.11081,0.11081,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,6.2735e-09,0,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,-1.4137e-28,0,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,3.3387e-06,0,16,16,16,16,16,16,0,1,540
