"T","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,3.53e-06,0,0,1,0,-0.0006,0.0007,0
1,3.5299e-06,2.7028e-10,-9.323e-25,1,3e-06,-0.000597,0.0007,0
1,3.5299e-06,5.3936e-10,-1.7146e-24,1,6e-06,-0.000594,0.0007,0
1,3.5297e-06,7.9913e-10,-1.6319e-24,1,9e-06,-0.000591,0.0007,0
1,3.5295e-06,1.0561e-09,-1.0758e-24,1,1.2e-05,-0.000588,0.0007,0
1,3.5292e-06,1.3056e-09,6.6068e-25,1,1.5e-05,-0.000585,0.0007,0
1,3.5288e-06,1.5509e-09,9.216e-25,1,1.8e-05,-0.000582,0.0007,0
1,3.5284e-06,1.7909e-09,-8.1757e-25,1,2.1e-05,-0.000579,0.0007,0
1,3.528e-06,2.0257e-09,-1.892e-24,1,2.4e-05,-0.000576,0.0007,0
1,3.5274e-06,2.2581e-09,-2.3059e-24,1,2.7e-05,-0.000573,0.0007,0
1,3.5268e-06,2.4807e-09,-6.4568e-25,1,3e-05,-0.00057,0.0007,0
1,3.5262e-06,2.7029e-09,1.536e-24,1,3.3e-05,-0.000567,0.0007,0
1,3.5255e-06,2.9164e-09,6.6954e-25,1,3.6e-05,-0.000564,0.0007,0
1,3.5247e-06,3.1318e-09,-9.2e-25,1,3.9e-05,-0.000561,0.0007,0
1,3.5239e-06,3.3338e-09,-2.174e-24,1,4.2e-05,-0.000558,0.0007,0
1,3.523e-06,3.5346e-09,-2.9294e-24,1,4.5e-05,-0.000555,0.0007,0
1,3.5221e-06,3.7307e-09,-3.2675e-24,1,4.8e-05,-0.000552,0.0007,0
1,3.5211e-06,3.9224e-09,3.9839e-25,1,5.1e-05,-0.000549,0.0007,0
1,3.5201e-06,4.1103e-09,6.3083e-24,1,5.4e-05,-0.000546,0.0007,0
1,3.519e-06,4.2951e-09,4.7553e-24,1,5.7e-05,-0.000543,0.0007,0
1,3.5179e-06,4.4765e-09,2.1154e-24,1,6e-05,-0.00054,0.0007,0
1,3.5166e-06,4.6504e-09,8.2275e-25,1,6.3e-05,-0.000537,0.0007,0
